site_code,Long,Lat,year,block,plot,trt,Family,Taxon,num_leaves,leaf_pct_N,leaf_pct_C,leaf_C13_delta_PDB,leaf_area_mm2,leaf_dry_mass_g,leaf_ppm_P,leaf_ppm_B,leaf_ppm_Na,leaf_ppm_Ca,leaf_ppm_Fe,leaf_ppm_K,leaf_ppm_Mg,leaf_ppm_Mn,leaf_ppm_Cu,leaf_ppm_Zn,leaf_ppm_Sr,leaf_ppm_Pb,leaf_ppm_Mo,SLA_v2,Ntrt,Ptrt,Ktrt,Nfix,first_nutrient_year,site_name,continent,country,region,habitat,lifespan,lifeform,photosynthetic_pathway,max_cover,live_mass,precip.mean,tmp,par2_gs,aridity
bldr.us,-105.233544,39.972022,2011,1,5,PK,Poaceae,SPOROBOLUS AIROIDES,5,2.22140047,46.58676782,-15.66022113,1451.075,0.34,5230.78836,18.4857216,3772.242564,4969.90116,67.5138804,19866.56028,3400.105608,45.375738,6.77561328,41.276082,31.4369076,0.235357524,NA,7255.375,0,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,45,58.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,6,K,Poaceae,SPOROBOLUS AIROIDES,5,1.888520937,46.20308903,-18.46949377,757.802,0.18,2746.76835,32.711724,2944.286175,3121.01265,67.132959,16951.8807,1678.09296,62.189238,4.3153602,30.0550515,18.111576,0.258043755,0.15570411,3789.01,0,0,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,7,59,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,7,NPK,Poaceae,SPOROBOLUS AIROIDES,5,3.016654264,46.66065293,-16.02568851,1173.583,0.29,3626.49292,18.2071222,10151.56716,4210.68864,73.444414,19911.18192,1922.993132,51.9056964,7.5497498,35.0517432,31.2068768,0.304043076,NA,5867.915,1,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,35,147.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,8,NP,Poaceae,SPOROBOLUS AIROIDES,5,2.795731069,48.76518493,-16.05336573,1171.54,0.31,5695.752,13.6776072,3356.9826,5260.7682,90.99549,21290.799,3713.9424,61.73649,7.0007034,46.404774,30.019734,0.6417474,NA,5857.7,1,1,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,48,354,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,9,NPK+Fence,Poaceae,SPOROBOLUS AIROIDES,5,1.839913659,46.01308819,-15.33933071,1569.017,0.43,2324.57676,15.6536226,3519.258292,6274.33268,61.4917732,25949.49148,4433.81268,43.1233836,7.18539008,47.3381744,35.5404412,0.456264908,NA,7845.085,1,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,52,248.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,10,Control,Poaceae,SPOROBOLUS AIROIDES,5,1.811576538,46.49225328,-15.14400691,1046.821,0.27,3302.79168,22.02419024,4145.784624,7684.19776,72.4159392,16859.85888,3310.974272,26.2958752,7.29738432,22.2789664,33.5300304,0.489467776,NA,5234.105,0,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,40,138.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,11,N,Poaceae,SPOROBOLUS AIROIDES,5,2.138957442,45.50281858,-16.11885613,1888.247,0.35,1912.263575,10.90934425,7708.2082,4689.08415,71.8719885,14738.4217,2102.2386,27.9615935,3.65616605,25.117656,21.90741935,0.2047635,0.15289008,9441.235,1,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,26,161,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,12,Control,Poaceae,SPOROBOLUS AIROIDES,5,2.079491855,45.98389671,-15.0449637,1257.444,0.28,4950.1776,11.1488208,2363.5776,5690.52,123.92688,13671.0432,2975.1648,36.465312,7.4103216,55.272768,24.279552,0.27958272,0.4356984,6287.22,0,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,28,52,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,13,K,Poaceae,SPOROBOLUS AIROIDES,5,1.872683964,48.54612293,-15.03280017,1946.416,0.38,3104.5167,11.9932893,1946.45187,6944.5053,66.580839,17039.646,2359.3356,17.986293,5.0293656,21.942792,28.88487,0.19054305,0.17573652,9732.08,0,0,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,36,166.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,14,P,Poaceae,SPOROBOLUS AIROIDES,5,2.092151533,45.01118703,-15.3528038,1329.88,0.21,6364.5554,10.76888175,1607.567865,5853.68055,67.696544,11221.2423,3085.50405,35.6712175,5.49809365,25.7237865,28.176886,0.14718597,0.24440973,6649.4,0,1,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,35,174,448.5731709,10.59856789,978.2125854,0.2813
